uid,startTime,TIME,aqara_door_yesterday_daytime_mean_720min,aqara_door_yesterday_nighttime_mean_720min,aqara_cleaner_yesterday_daytime_mean_720min,aqara_cleaner_yesterday_nighttime_mean_720min,aqara_chair_yesterday_daytime_mean_720min,aqara_chair_yesterday_nighttime_mean_720min,aqara_fridge_yesterday_daytime_mean_720min,aqara_fridge_yesterday_nighttime_mean_720min,aqara_microwave_yesterday_daytime_mean_720min,aqara_microwave_yesterday_nighttime_mean_720min,aqara_motion_yesterday_daytime_mean_720min,aqara_motion_yesterday_nighttime_mean_720min,aqara_tv_yesterday_daytime_mean_720min,aqara_tv_yesterday_nighttime_mean_720min,aqara_washer_yesterday_daytime_mean_720min,aqara_washer_yesterday_nighttime_mean_720min,aqara_door_yesterday_daytime_std_720min,aqara_door_yesterday_nighttime_std_720min,aqara_cleaner_yesterday_daytime_std_720min,aqara_cleaner_yesterday_nighttime_std_720min,aqara_chair_yesterday_daytime_std_720min,aqara_chair_yesterday_nighttime_std_720min,aqara_fridge_yesterday_daytime_std_720min,aqara_fridge_yesterday_nighttime_std_720min,aqara_microwave_yesterday_daytime_std_720min,aqara_microwave_yesterday_nighttime_std_720min,aqara_motion_yesterday_daytime_std_720min,aqara_motion_yesterday_nighttime_std_720min,aqara_tv_yesterday_daytime_std_720min,aqara_tv_yesterday_nighttime_std_720min,aqara_washer_yesterday_daytime_std_720min,aqara_washer_yesterday_nighttime_std_720min
17,1686064570784,2023-06-06 15:16:10.784,,,,,,,,,,,,,2.6100000000000003,2.555,,,,,,,,,,,,,,,0.1838477631085022,0.26162950903902266,,
10,1686064820678,2023-06-06 15:20:20.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686064849612,2023-06-06 15:20:49.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686065013606,2023-06-06 15:23:33.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686065989055,2023-06-06 15:39:49.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1686066236374,2023-06-06 15:43:56.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1686066411175,2023-06-06 15:46:51.175,,,,,,,,,,,,,15.28,4.979999999999999,,,,,,,,,,,,,,,14.424978336205571,0.14142135623730837,,
3,1686068059800,2023-06-06 16:14:19.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1686068368361,2023-06-06 16:19:28.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686068418151,2023-06-06 16:20:18.151,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
15,1686069053726,2023-06-06 16:30:53.726,,,,,,,,,,,,,15.28,4.979999999999999,,,,,,,,,,,,,,,14.424978336205571,0.14142135623730837,,
10,1686069861878,2023-06-06 16:44:21.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686071196327,2023-06-06 17:06:36.327,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,1686073726624,2023-06-06 17:48:46.624,,,,,,,,,,,,,60.03,104.71000000000001,,,,,,,,,,,,,,,78.37571562671693,15.188653659887043,,
6,1686074122416,2023-06-06 17:55:22.416,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
8,1686076190626,2023-06-06 18:29:50.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686105579187,2023-06-07 02:39:39.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686109314049,2023-06-07 03:41:54.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686112299384,2023-06-07 04:31:39.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1686123130031,2023-06-07 07:32:10.031,,,,,,,,,,,,,104.71000000000001,49.03,,,,,,,,,,,,,,,15.188653659887043,63.55475749304689,,
3,1686125384815,2023-06-07 08:09:44.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686126655749,2023-06-07 08:30:55.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686127415304,2023-06-07 08:43:35.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686129425356,2023-06-07 09:17:05.356,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,1686130754583,2023-06-07 09:39:14.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686130864839,2023-06-07 09:41:04.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686130915200,2023-06-07 09:41:55.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686131076691,2023-06-07 09:44:36.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1686132196375,2023-06-07 10:03:16.375,,,,,,,,,,,,,2.555,2.4850000000000003,,,,,,,,,,,,,,,0.26162950903902266,0.16263455967290624,,
11,1686132732391,2023-06-07 10:12:12.391,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
17,1686134872359,2023-06-07 10:47:52.359,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
3,1686135166693,2023-06-07 10:52:46.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686135905919,2023-06-07 11:05:05.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686137384176,2023-06-07 11:29:44.176,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
17,1686137594860,2023-06-07 11:33:14.860,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
15,1686138272149,2023-06-07 11:44:32.149,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
3,1686138541210,2023-06-07 11:49:01.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1686139676630,2023-06-07 12:07:56.630,,,,,,,,,,,,,6.25,6.2700000000000005,,,,,,,,,,,,,,,0.0707106781186545,0.042426406871191945,,
1,1686139876854,2023-06-07 12:11:16.854,,,,,,,,,,,,,104.71000000000001,49.03,,,,,,,,,,,,,,,15.188653659887043,63.55475749304689,,
11,1686140295405,2023-06-07 12:18:15.405,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
17,1686140307625,2023-06-07 12:18:27.625,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
4,1686140947419,2023-06-07 12:29:07.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686141153481,2023-06-07 12:32:33.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1686141464056,2023-06-07 12:37:44.056,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
3,1686141572491,2023-06-07 12:39:32.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686142950018,2023-06-07 13:02:30.018,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
7,1686143808920,2023-06-07 13:16:48.920,,,,,,,,,,,,,7.9,7.82,,,,,,,,,,,,,,,0.1131370849898477,0.0,,
19,1686144209741,2023-06-07 13:23:29.741,,,,,,,,,,,,,6.25,6.2700000000000005,,,,,,,,,,,,,,,0.0707106781186545,0.042426406871191945,,
15,1686144802082,2023-06-07 13:33:22.082,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
4,1686145150192,2023-06-07 13:39:10.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1686145347932,2023-06-07 13:42:27.932,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
13,1686146200346,2023-06-07 13:56:40.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686146613171,2023-06-07 14:03:33.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1686147140990,2023-06-07 14:12:20.990,,,,,,,,,,,,,7.9,7.82,,,,,,,,,,,,,,,0.1131370849898477,0.0,,
15,1686147510593,2023-06-07 14:18:30.593,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
11,1686147877458,2023-06-07 14:24:37.458,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
2,1686147900661,2023-06-07 14:25:00.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1686147991300,2023-06-07 14:26:31.300,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
3,1686149751903,2023-06-07 14:55:51.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686150183632,2023-06-07 15:03:03.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1686150378342,2023-06-07 15:06:18.342,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
14,1686150581899,2023-06-07 15:09:41.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686150664573,2023-06-07 15:11:04.573,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
17,1686150668134,2023-06-07 15:11:08.134,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
18,1686152352637,2023-06-07 15:39:12.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686152471461,2023-06-07 15:41:11.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686152631418,2023-06-07 15:43:51.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686154410894,2023-06-07 16:13:30.894,,,,,,,,,,,,,0.0,38.79,,,,,,,,,,,,,,,,,,
4,1686155226936,2023-06-07 16:27:06.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1686155414260,2023-06-07 16:30:14.260,,,,,,,,,,,,,7.9,7.82,,,,,,,,,,,,,,,0.1131370849898477,0.0,,
15,1686155418513,2023-06-07 16:30:18.513,,,,,,,,,,,,,4.890000000000001,4.865,,,,,,,,,,,,,,,0.014142135623731277,0.049497474683058526,,
17,1686156611481,2023-06-07 16:50:11.481,,,,,,,,,,,,,2.4850000000000003,2.4800000000000004,,,,,,,,,,,,,,,0.16263455967290624,0.16970562748477155,,
8,1686157672279,2023-06-07 17:07:52.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1686159122204,2023-06-07 17:32:02.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686162712369,2023-06-07 18:31:52.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1686165568841,2023-06-07 19:19:28.841,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
8,1686167752908,2023-06-07 19:55:52.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1686170609800,2023-06-07 20:43:29.800,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,1686176751905,2023-06-07 22:25:51.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686192016820,2023-06-08 02:40:16.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686197188075,2023-06-08 04:06:28.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1686211144824,2023-06-08 07:59:04.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686212352858,2023-06-08 08:19:12.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1686212693546,2023-06-08 08:24:53.546,,,,,,,,,,,,,4.125,31.46,,,,,,,,,,,,,,,0.04949747468305978,38.6080302527855,,
11,1686215959924,2023-06-08 09:19:19.924,,,,,,,,,,,,,38.79,22.585,,,,,,,,,,,,,,,,22.917330778256005,,
17,1686217304831,2023-06-08 09:41:44.831,,,,,,,,,,,,,2.4800000000000004,2.37,,,,,,,,,,,,,,,0.16970562748477155,0.014142135623730649,,
17,1686220073913,2023-06-08 10:27:53.913,,,,,,,,,,,,,2.4800000000000004,2.37,,,,,,,,,,,,,,,0.16970562748477155,0.014142135623730649,,
19,1686222125709,2023-06-08 11:02:05.709,,,,,,,,,,,,,6.195000000000002,6.73,,,,,,,,,,,,,,,0.06363961030678855,0.8202438661763933,,
