,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
1103,20,1685700753758,6.345,1.418,23.818,2.855,84.38
1104,4,1685701539439,6.515,2.149,36.824,0.788,80.203
1105,11,1685701988514,6.465,0.309,16.491,1.759,76.216
1106,7,1685703620631,7.931,1.639,19.417,2.009,87.032
1107,13,1685704057599,9.652,1.347,38.871,0.051,100.978
1108,10,1685704112903,6.211,1.61,26.467,0.567,73.199
1109,11,1685704689455,5.987,0.334,33.638,0.386,78.364
1110,3,1685705733701,7.538,1.061,27.887,0.215,157.976
1112,11,1685707421079,6.587,0.455,15.385,0.845,63.551
1113,7,1685708659704,12.192,0.82,33.871,0.679,128.166
1115,11,1685710098160,8.595,0.582,19.31,1.761,78.677
1118,4,1685711610550,6.29,2.385,16.3,1.411,86.628
1119,11,1685713241271,6.884,1.307,22.677,0.353,76.293
1120,13,1685714190504,6.102,0.492,54.446,0.037,116.746
1122,3,1685715524351,9.525,0.84,25.006,0.28,222.671
1123,8,1685715626810,6.533,1.378,18.011,1.333,77.017
1124,12,1685715947533,7.196,1.251,113.968,0.149,173.484
1125,4,1685716650821,6.691,2.242,15.996,1.125,61.075
1126,7,1685718740708,9.979,2.104,24.942,2.365,120.791
1127,10,1685719285987,6.803,1.176,21.945,1.823,76.535
1129,11,1685720729474,9.228,2.059,63.589,0.094,112.954
1130,12,1685720988265,7.06,1.416,29.792,0.604,97.181
1131,14,1685721579190,32.428,0.247,10.952,0.274,95.859
1132,16,1685722073543,6.333,1.105,35.835,0.14,93.964
1133,10,1685722806524,8.657,1.155,29.654,1.315,94.103
1134,10,1685724326886,26.733,0.374,18.933,1.69,107.544
1137,11,1685744382227,6.484,0.463,15.418,0.973,70.856
1138,11,1685749422957,7.46,1.072,15.5,0.903,64.912
1139,4,1685751573348,7.216,1.524,17.928,1.896,62.437
1140,1,1685751599919,8.03,0.747,25.436,0.079,86.295
1141,11,1685754515580,6.497,0.462,17.255,0.927,100.127
