,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
767,5,1685162674530,8.524,0.939,15.986,0.751,77.286
768,19,1685163147187,5.831,0.514,21.491,0.791,143.871
769,11,1685163811821,6.181,0.971,30.48,0.623,67.855
770,3,1685165290166,6.441,1.242,17.611,0.625,72.034
771,2,1685166219776,10.719,0.466,19.451,0.72,76.087
772,11,1685166617688,6.54,0.306,25.752,0.66,72.787
773,4,1685166987314,6.335,2.052,34.229,0.467,76.433
774,1,1685166993025,6.689,0.747,21.589,0.834,68.276
775,11,1685168852150,7.223,0.415,15.828,1.011,62.911
776,2,1685168914525,6.762,0.296,56.576,0.159,180.507
777,3,1685170330378,6.712,1.192,45.228,0.221,179.554
778,4,1685172028227,6.171,2.107,17.668,1.698,60.138
779,20,1685172511949,60.896,0.164,46.484,0.323,160.637
780,3,1685173122152,6.579,1.216,25.303,0.158,75.585
781,19,1685175466824,6.696,0.299,20.87,0.335,66.777
782,4,1685177068760,6.128,2.121,31.07,0.064,80.477
783,20,1685177610225,7.871,1.398,35.904,2.841,121.189
784,3,1685182643625,6.452,1.395,16.675,0.66,71.983
785,20,1685182774996,197.315,0.025,36.08,0.194,278.661
786,10,1685185644809,6.489,0.925,16.455,1.215,79.24
787,8,1685186366325,7.862,0.509,17.833,1.794,69.061
788,15,1685186878582,7.53,1.195,33.835,0.828,134.097
789,20,1685187790244,43.797,0.274,17.411,1.321,107.841
790,3,1685191375303,7.099,0.986,62.706,0.128,230.731
793,8,1685196446718,6.574,0.456,17.986,1.779,64.692
794,15,1685197012073,46.402,0.194,17.497,0.572,157.771
796,15,1685202052374,6.669,1.35,19.472,0.822,148.34
798,10,1685205837059,6.972,1.434,19.876,1.56,66.02
799,10,1685205929288,6.868,1.602,29.928,0.368,81.453
801,15,1685207092972,6.968,1.292,28.009,0.928,82.509
803,18,1685212034496,5.896,0.509,21.955,0.547,76.913
805,9,1685229559298,7.399,1.352,40.434,0.124,103.05
806,11,1685231014135,8.068,0.248,16.551,1.027,69.246
807,4,1685233170939,5.989,1.503,16.841,1.247,70.286
808,1,1685233175378,6.352,0.945,21.597,0.139,68.818
809,11,1685234014994,6.228,0.642,16.786,1.132,76.661
810,9,1685234598808,6.863,1.457,27.199,0.184,74.076
811,4,1685238211996,16.224,0.123,16.266,1.66,72.519
813,11,1685239116244,6.386,0.783,17.455,1.089,64.627
814,9,1685239691250,9.268,2.266,16.732,1.016,71.699
815,4,1685242092955,6.159,1.786,32.007,0.781,74.569
816,1,1685243360607,28.549,0.21,22.712,0.088,107.666
818,11,1685243995684,5.933,0.337,16.405,0.975,61.85
819,20,1685244002720,7.753,0.903,21.056,2.66,90.724
820,9,1685244731633,7.338,1.363,8.345,1.558,64.69
821,20,1685246698157,7.182,1.949,27.886,3.765,89.923
822,11,1685246779027,6.825,1.172,15.594,0.898,58.369
823,1,1685248400755,7.063,0.849,19.601,0.204,75.383
824,19,1685248793144,5.87,0.341,24.929,0.481,70.679
825,9,1685249771961,8.312,2.166,16.19,0.926,70.789
826,11,1685249882949,7.756,0.387,17.573,1.195,91.515
827,19,1685251451577,6.143,0.326,20.335,0.836,66.065
828,11,1685252604630,6.345,0.315,26.394,0.644,92.921
829,2,1685253358256,6.731,0.297,58.283,0.532,144.811
830,6,1685254778655,8.559,2.337,20.013,1.499,190.752
831,9,1685254864610,9.098,1.099,28.978,0.345,87.745
832,3,1685255047944,64.236,0.125,16.0,0.625,137.507
833,11,1685255382748,5.798,0.345,16.733,1.016,61.151
834,20,1685256898575,56.022,0.036,51.262,0.312,194.127
835,3,1685257880093,7.41,1.35,22.864,0.787,87.448
836,1,1685258533820,9.76,0.512,17.253,0.116,134.031
837,9,1685259957352,7.06,3.116,15.937,0.878,72.573
839,3,1685260529349,6.323,1.265,32.011,0.281,88.124
840,20,1685262028303,6.291,1.431,34.285,0.408,92.14
841,6,1685264860491,8.372,2.389,12.048,2.324,82.691
843,20,1685268064106,6.298,0.794,8.922,1.681,61.232
844,17,1685268088784,7.85,0.764,43.425,0.438,110.428
845,3,1685268851767,6.181,1.456,15.684,0.255,74.198
846,5,1685269233513,18.869,0.318,19.07,1.783,87.287
848,17,1685271660475,5.992,0.334,27.148,0.626,75.456
849,20,1685272318109,7.389,1.218,16.52,0.969,68.18
850,8,1685272753214,7.139,0.28,42.935,0.675,102.341
852,7,1685274711564,7.65,1.699,33.071,0.151,166.388
853,6,1685274941580,28.217,0.744,35.456,1.1,98.266
854,15,1685275727242,6.984,1.289,17.888,1.398,74.685
855,13,1685277169327,6.407,0.78,18.238,0.932,88.944
856,17,1685277266182,6.814,0.734,39.091,0.384,88.394
857,7,1685279752339,9.146,1.968,38.15,0.655,173.46
858,6,1685279982029,9.175,1.09,10.865,2.945,109.297
859,17,1685280705342,6.524,0.766,16.421,1.644,84.678
860,15,1685280767733,6.945,1.296,19.631,0.713,123.098
861,13,1685282235056,6.196,0.968,69.038,0.116,144.299
864,7,1685284793133,7.664,1.435,31.611,1.17,232.925
865,15,1685285809061,6.992,1.287,18.408,0.706,91.33
867,8,1685287979093,7.269,1.238,29.675,1.213,83.337
871,8,1685293072312,22.87,0.394,18.225,1.317,79.647
873,15,1685295993827,6.854,1.313,16.851,0.712,94.077
874,8,1685298112221,8.727,0.229,16.649,1.321,82.54
877,8,1685308193650,7.143,1.68,21.41,1.401,72.665
878,20,1685330709517,6.771,1.034,30.155,3.449,100.734
879,20,1685333139296,6.636,0.904,27.412,3.539,81.396
880,20,1685335885321,7.76,0.773,32.105,0.561,84.843
881,20,1685338641770,6.39,0.939,29.764,0.403,76.585
882,20,1685341280539,7.019,0.855,30.669,0.424,91.47
883,20,1685343999865,7.386,1.354,37.587,0.585,94.802
884,4,1685347677660,10.879,0.184,84.697,0.13,160.71
886,19,1685351022001,6.16,0.487,20.697,0.773,142.089
888,11,1685351983969,9.613,0.624,34.828,0.488,91.681
889,15,1685352026541,9.658,1.346,22.771,1.449,146.927
890,20,1685352192729,7.169,1.255,42.965,0.163,101.575
891,11,1685354635691,7.449,0.671,34.53,0.405,87.649
892,19,1685356360541,8.502,0.235,23.667,0.465,79.603
893,1,1685356995652,6.756,0.888,19.738,0.152,81.518
894,11,1685357060084,6.203,0.484,16.339,1.04,77.189
895,11,1685357850248,6.84,0.731,25.354,0.552,83.875
896,13,1685358523672,8.335,0.6,77.586,0.129,149.332
897,11,1685361740558,6.082,1.48,42.808,0.444,87.745
899,1,1685362088569,6.676,0.899,16.787,0.357,70.146
900,15,1685362107097,24.83,0.201,24.018,1.041,164.763
902,4,1685362515723,6.002,1.5,15.929,1.193,63.716
903,9,1685363519231,10.32,2.035,45.894,0.174,101.214
904,13,1685363616011,6.006,0.5,20.818,0.961,74.762
906,11,1685364925522,6.479,0.309,17.378,0.921,68.45
907,4,1685365219880,6.683,2.245,17.264,1.448,58.401
908,15,1685367147781,7.876,1.651,29.181,0.445,146.047
909,11,1685367575026,6.141,0.326,15.92,1.005,64.608
910,4,1685367885187,6.251,2.4,25.05,0.479,70.656
911,9,1685368559327,9.088,1.871,16.588,0.904,74.62
912,13,1685368656368,8.219,0.365,16.906,0.651,100.942
914,8,1685369993699,7.482,1.604,22.346,2.282,91.574
915,11,1685370292027,6.175,0.324,16.191,0.988,66.977
916,4,1685370544105,6.354,2.203,31.818,0.063,85.213
918,15,1685372188091,7.989,0.751,20.078,0.647,149.416
919,11,1685373082412,10.749,0.186,15.111,0.993,65.503
920,3,1685373536283,27.356,0.366,21.591,0.556,178.767
921,9,1685373599521,9.242,1.515,16.733,1.076,126.641
922,4,1685373849949,6.112,1.473,16.367,1.589,62.074
924,18,1685374762237,5.692,0.351,9.482,1.687,119.093
926,3,1685376265461,7.402,1.081,28.387,0.211,158.471
927,4,1685376776887,6.212,1.449,17.022,1.527,71.859
929,15,1685377228645,7.283,1.236,22.952,1.525,153.891
930,11,1685378123126,5.769,0.52,15.505,1.032,56.118
931,9,1685378639939,7.091,1.41,16.796,0.834,64.057
932,12,1685379267030,6.966,1.005,27.964,1.037,82.784
936,6,1685382940600,9.489,2.424,33.849,0.65,136.523
937,18,1685384843220,6.461,1.393,8.103,1.975,89.365
938,6,1685387982217,10.117,1.977,41.104,0.973,104.215
940,8,1685400235406,9.125,0.11,19.161,0.783,104.307
941,20,1685425279774,7.158,1.118,53.648,0.13,114.932
942,10,1685433320174,6.497,1.385,25.731,0.777,78.399
943,4,1685434799012,6.902,2.173,30.862,0.065,75.646
944,4,1685437441103,6.489,2.157,16.751,1.552,68.46
945,4,1685440185933,6.872,1.455,26.081,1.38,188.175
946,19,1685441287615,5.901,0.339,41.961,0.334,163.894
947,11,1685441552121,6.594,0.607,15.841,1.199,87.616
948,1,1685443495890,10.756,0.558,13.984,0.286,78.558
949,4,1685443645821,7.184,1.81,46.321,0.324,109.034
950,20,1685443697125,6.721,1.488,29.392,0.17,117.237
951,19,1685443992338,5.827,0.343,20.992,0.619,66.131
952,13,1685444850689,6.827,0.439,15.693,0.828,73.44
953,11,1685446861254,6.285,0.477,50.422,0.258,103.51
954,4,1685447224698,6.891,2.032,29.414,0.17,85.679
955,11,1685449488282,6.834,0.293,16.274,0.983,65.215
956,4,1685449885690,6.771,2.068,110.064,0.091,188.005
957,15,1685451239265,6.45,0.62,29.926,0.535,96.158
958,11,1685452247548,6.206,0.806,25.234,0.555,72.452
959,4,1685452757582,7.005,2.141,45.181,0.022,89.999
960,1,1685453680701,6.93,0.722,23.913,0.418,82.426
961,11,1685454505095,7.745,0.646,41.229,0.315,92.912
962,13,1685454931861,11.627,0.172,18.364,0.98,154.295
963,9,1685454961964,6.855,2.042,15.358,0.781,67.529
965,11,1685455069842,6.219,0.965,16.767,1.193,61.174
966,4,1685455487316,6.281,1.592,29.337,0.068,71.226
967,15,1685456237333,7.029,1.423,8.729,0.916,80.773
968,8,1685456396085,9.95,0.402,17.819,1.403,79.687
969,11,1685457699423,6.636,0.753,15.649,0.895,64.877
970,12,1685457810791,7.716,1.555,87.047,0.31,146.511
971,4,1685458443659,7.248,2.07,16.419,1.584,75.266
972,4,1685458547867,6.337,1.42,58.629,0.034,110.376
973,1,1685458825226,10.949,0.457,25.495,0.157,92.698
974,9,1685460002466,6.954,1.438,16.129,0.744,63.419
975,11,1685460439369,6.189,0.323,52.107,0.326,100.648
976,16,1685460696081,7.287,2.058,60.48,0.083,120.747
977,4,1685461213794,7.146,2.099,23.725,0.379,63.898
978,15,1685461277389,54.242,0.147,16.697,0.898,170.2
981,1,1685463918505,6.557,0.763,16.977,0.295,162.892
982,11,1685465479561,6.5,0.462,15.915,1.005,63.514
983,16,1685465736563,6.892,1.451,44.413,0.248,195.54
984,18,1685466207455,8.426,0.237,8.026,1.495,67.524
985,15,1685466317865,6.987,0.859,55.106,0.599,177.854
986,18,1685470549861,6.113,0.982,20.44,1.517,69.197
987,12,1685483014663,7.23,1.383,50.543,0.198,115.229
988,2,1685495958347,7.364,0.272,54.911,0.2,115.979
989,2,1685498989076,7.14,0.28,50.066,0.24,104.198
990,2,1685501873315,6.887,0.29,15.999,0.5,94.231
991,20,1685503411327,9.197,1.74,47.541,0.168,116.319
992,2,1685504789262,17.594,0.114,17.381,0.805,90.542
993,20,1685506124931,8.127,1.23,28.784,3.509,84.197
995,20,1685508763828,7.155,1.398,23.947,2.965,86.493
996,20,1685511458984,6.638,0.753,28.63,0.838,96.459
997,20,1685519248546,6.871,1.164,36.981,0.595,105.171
999,11,1685525047567,6.051,0.331,15.123,0.992,73.619
1000,4,1685525371443,6.737,2.227,21.968,0.273,67.192
1001,11,1685527054679,23.979,0.125,16.098,1.056,83.707
1002,1,1685529904536,19.944,0.251,20.996,0.238,84.995
1004,4,1685532166586,6.963,1.867,17.355,1.325,60.872
1006,3,1685533924021,6.766,1.626,24.985,0.32,90.023
1007,19,1685534629279,6.035,0.331,29.742,0.504,73.868
1008,1,1685534997090,7.657,0.653,19.187,0.156,88.015
1010,9,1685536324411,23.45,0.426,44.288,0.181,219.856
1011,13,1685536346657,9.788,0.306,41.944,0.048,102.063
1012,12,1685536828870,7.781,2.185,78.689,0.114,133.753
1013,3,1685536931097,6.584,1.367,23.261,0.301,96.39
1014,19,1685537279151,6.022,0.332,19.764,0.607,64.071
1015,4,1685537289073,6.781,1.917,49.13,0.366,243.041
1016,15,1685537481302,14.031,0.641,27.355,0.219,164.997
1017,11,1685538314492,6.454,0.31,19.829,0.454,80.359
1019,4,1685539949165,6.758,1.628,45.952,0.152,128.919
